ID,Is_Lead
XSQVHKYG,0.05545976
MJ3CZRAE,0.022924305
3NSQEYBJ,0.43250754
SXVBASGH,0.051240491
5ZIGZYSS,0.044942121
FQSHBCUT,0.396878206
MU45XUBP,0.053852522
BVULDPBI,0.065789234
82GRNPFG,0.831964366
KKBNELBF,0.041491473
HXQGBDGY,0.050110518
28HDZICG,0.554613843
GHBPKPJC,0.052373116
FDWZFSSC,0.85072538
FWTIWZF3,0.052778844
JYMHVPMY,0.039070963
AHUDO2T6,0.833389183
ACDHABS3,0.225376987
5NTYJJDV,0.088293665
2M4VPY4V,0.11033769
KAHP9XLF,0.085883315
YRLEWZFQ,0.092532585
JZWVLXHJ,0.165057373
JZZSXUKT,0.234154861
93RURE2J,0.850190145
4RNB6FDV,0.263538155
27E7HMMG,0.096949257
2QEFQQWN,0.051202531
DDTCD2XI,0.079548625
VGVEYSEG,0.795895705
WCXVE7RK,0.053540435
RTN4R3UE,0.035996125
K2PVS4RB,0.052006842
Q36J686Z,0.080711958
NWKHMEOF,0.128741027
PVJYQQGT,0.25441832
GPUMRNWC,0.050627669
LXHCDSVH,0.160330019
BNIUPSVK,0.073250055
FW3QI3WW,0.072485833
IEEUGXMY,0.878394642
FVVXDLBO,0.0522073
UC2JJB6Y,0.068047313
3WPAHP52,0.48915636
HDTCJJOE,0.552884449
UCSB9GKK,0.062238544
HANBFYTH,0.112405525
FLUU2HNV,0.053526231
64PIYWDJ,0.20158951
9AHNH8ZX,0.846148877
KLHUI2SE,0.034209528
YRHYUJFW,0.838001496
G5RWWH7F,0.19296917
SCBT9BAX,0.023136836
UGZGLVNB,0.291031952
2RRNUFBV,0.82627502
B6O59TEY,0.453856036
CYHRRYH6,0.051585869
GGYZVHWU,0.069597444
K6AM97RN,0.067156606
ATM5JQYM,0.065006844
7GYZSGWA,0.052103995
DFWUDQCR,0.164076073
E2Z98CR3,0.841603765
GD9KTSLY,0.051878062
2AMRA4OD,0.106854735
CFHZ3ZE6,0.42969396
BOMLVM5K,0.05264605
OBBEGBSY,0.509833978
FJEHOK8W,0.032694083
3GMAEVPJ,0.09975566
WAVDLUTH,0.051941605
6EN8GZX6,0.119573891
VXGA3GKB,0.191802934
U4MZ3U8C,0.477035997
GU4RDP8S,0.852171567
N3TPNHCD,0.089567049
JRRHWQC8,0.645032962
NZ5GBHZK,0.037193358
LCUC2LAJ,0.859300982
DJDSU9D2,0.974104469
647K6DBR,0.056913036
7NFXVESK,0.069839223
EWUWF25N,0.052108542
7QKYPLA8,0.054006954
XQVXWBNO,0.052070375
CNWH4MVA,0.047188656
AFJUJFQD,0.074128227
QKMFDX9H,0.177249812
YYMB5QBY,0.069278323
IRY3SEX7,0.270087847
CUAUZJH8,0.194590316
JYFUYQF5,0.291029314
I4NYEDFE,0.55936154
M3RSPRGQ,0.140447607
JIL3KWQN,0.12184583
X4B5ZBWU,0.148012109
AHYTHHSE,0.052640504
E7EHQEQK,0.345697433
FAMHAVN3,0.841637292
CCGKCTR6,0.064542501
6DTSELRV,0.056737429
LU8X3G6O,0.254033088
NPFDAUJY,0.05179321
DR9PXCFU,0.02402645
SHVZMWBV,0.058735637
8TGXGZHX,0.221898472
IKRSHJFW,0.199023639
TYKRZDCP,0.501891454
9IDA3L7P,0.0721899
ASOWCMDB,0.053655342
KZ5J2JGC,0.843745046
D5UCFKTV,0.051041054
2N8FFP7W,0.040465129
SA36MTFS,0.028886378
8UDMURUH,0.104294479
7VSQV6QN,0.138548706
IFUG9NC5,0.051412267
EQXDLQRG,0.202311763
JAR8YY9J,0.070295936
BS4TAF6M,0.054860866
WQJ9SPT9,0.793150943
7QHT4ON2,0.053333776
FNGPQN7B,0.129660644
DDOMDZRU,0.584833883
QYR9HXHP,0.239400209
S4NGXFXY,0.022760634
NOJ2KSCC,0.813794172
ZD2JRUNB,0.445633622
GZIPTSNN,0.050170326
LCFYUVE9,0.824034569
PPANVU9W,0.051890288
DRPV9STB,0.069716626
AFSPF3WZ,0.992497142
GPXEUNND,0.866285525
NSADMDSM,0.054847871
CKWJU8RQ,0.523104888
F7MNZSSU,0.051302789
BDGVMPZY,0.5565688
IA3MSRTR,0.08161761
JD3WTPMG,0.312596903
QT6DF6EW,0.851775298
NVDEMCZ2,0.055557909
9B6UTJVT,0.056175813
U6QYES9J,0.023561514
DZQPDSPS,0.163478079
CRGXVSBF,0.87107352
XIHJYS2V,0.573328983
7X2MC5GZ,0.831309844
ZBDVXTM5,0.052322131
UUBQPBR5,0.062640553
CUMZFBTD,0.085342396
E7QXYSQN,0.021713827
6UQAJP48,0.082278644
QHWB768Y,0.051903951
R6RXMXOJ,0.16806281
WXQGZG5K,0.034424324
GCUFKLHG,0.055882391
SJX4372M,0.051543862
VGEAMUZZ,0.100190613
ZWDXVKDF,0.84062219
WGMRCYLR,0.052070375
SI43K5CY,0.086973563
DSNBS2RS,0.177249812
XIMZCKSR,0.373520992
VEW9FXHT,0.022979761
JZJHDDDJ,0.42654291
4TYUR5HA,0.448167757
UHCDFDRX,0.24145947
E5QMOFUM,0.096670527
PSNVWDZH,0.054826332
5IQSWONG,0.046632714
CEAZEPY4,0.995431682
2TNRJXRX,0.023340941
BFROCARA,0.049494735
GRTJMRKM,0.022847609
6EDAM4EU,0.076170513
NRDB58KL,0.046395538
TCPJCWZR,0.033969129
KG8LD2BE,0.034294826
FHZ3XFDV,0.140089418
NZKCSDZ4,0.223157701
6DG6KJG4,0.050878908
BVPKDUNU,0.279562447
APR4PQ6X,0.055391962
HPWS8YFG,0.114968439
VRPBGTPU,0.052862983
XBCSX7G7,0.051327974
KEH3G8UA,0.141894569
WXNAVFLT,0.051113158
8J8NJ7M6,0.109500395
D4UW7Y85,0.057984777
SZRESXN7,0.051397599
UUQSXK5T,0.052969434
GPMUKOVY,0.3980848
6FYOKAZ5,0.170739725
ENUB4N9S,0.17254022
KERBCSGE,0.994905808
7HTA4C6J,0.833238385
4BTVMT6W,0.049451464
MR3J9USD,0.248408185
7S83FNQW,0.573788302
MSOKLC7S,0.024459044
GFMNATHU,0.035873331
NG4ABA6H,0.985564048
3GFHRAQY,0.281257869
BCSGZZPE,0.128878347
PQ9MCGZC,0.082806546
K7N596CG,0.053756063
8RUL6JEE,0.067301637
CVOFJRMP,0.055205409
B4FQX4HG,0.060881031
W7HAQKDV,0.056615504
8C5PKJ7G,0.053164805
E4GQJZSQ,0.045995774
UENREGNV,0.838590928
CC4LYHEW,0.81098962
GDKGLTBT,0.069988198
G3ER8CGX,0.054527849
ZG4KT59X,0.022924305
LW93KJMZ,0.490596296
9AR5FBSQ,0.421386034
FHLWDMRV,0.09566664
EON5DCWD,0.99590033
J8UXTMYV,0.228153209
IXBW5HZH,0.051553243
LDHQB458,0.046322774
GNHTIKF3,0.053249527
8NO22KTE,0.022684403
SGJFSSJK,0.190277045
TD8D3NDD,0.053442189
8RQ27JGU,0.863337988
A8GKBMBO,0.794284527
ODVMNUDE,0.548669493
EA5CRL7L,0.051890288
6UI7RPCH,0.317094788
7BJYM94L,0.051046515
X3PZJF7F,0.43867361
YCSSMPV7,0.478268793
4EV9VXL8,0.381232347
IPNJFQTY,0.168881606
XPWNJRJC,0.034424324
3WHNSBRB,0.146814414
U245YKM8,0.051362736
68EFFKBB,0.838122031
NEUII7AB,0.993498262
F7CSLYWT,0.055190019
5EOMOZHG,0.151771599
6CYUTUFN,0.426661366
K7YUC8LF,0.253030698
LSMCXMXA,0.054339652
AALPBPBP,0.052937905
ZPX6VOH2,0.067700916
CDBFWQGM,0.108881136
JUQ76NJV,0.81910061
QHE7UULR,0.051240491
JRMNMZJA,0.046094115
GZ4EZZFX,0.151570711
9L9JFIAR,0.535380939
GTOE4RN4,0.169813088
CUYE7ST4,0.280511216
FFM6DHEA,0.841395963
5XUK7XLZ,0.448043435
4HTGJEEZ,0.05179321
RWYBAMRG,0.136864301
RQZGBGGN,0.858736123
ITVSUTU9,0.22653686
6UMDX7NQ,0.462321097
4IVKAFYY,0.506256647
ZKYOSQEU,0.559614417
9JYXIDL4,0.993942538
XNURWQBT,0.053791205
HVNIJFQC,0.052061923
CGGVBJKZ,0.994417561
JO9DV3NY,0.845108923
EYENUQR9,0.388592032
FPU4ZI8H,0.071312284
2MALVTY4,0.069059284
QN4REV7D,0.052315748
27F5ZEQA,0.077486674
MKJUE4K2,0.082462965
4ECWF4DN,0.051297676
KWBJAQMY,0.0432033
3YAW8OEY,0.104116217
ZHHFH7H9,0.880292381
BO2822VM,0.144739874
NQZUPVUA,0.03757378
MUT2PZ7T,0.377389976
2MFKPCPS,0.844574802
4RLVOVMJ,0.671574672
JISGN7XF,0.051847406
NNOFHDAC,0.052103995
ODE23CPW,0.023340941
ZNTYNFME,0.231558657
NQM48VKU,0.089176295
DGVBCYY7,0.051878062
9F38NUKC,0.162297536
3Z7KCIZS,0.032605667
ERAX3STD,0.046498878
N9TCDYYG,0.051055343
R4UMWUZK,0.07152885
CPERTJBJ,0.095942783
4XK5BMA9,0.044898803
2PKDM5B2,0.05594001
SW5GTHZN,0.382183683
ATJAEQCJ,0.095048219
NHNXBSFY,0.157686552
NRGYTYZJ,0.04614481
UZNABWAT,0.051903951
CVP3VZN5,0.062190394
JEAYZXKC,0.054110302
87LFEVTZ,0.318529771
N7ZEJ2CQ,0.051667048
AQT3ADAP,0.057837802
WC8ROKF8,0.052083024
D9HWEXEV,0.080895656
MMHWGZCN,0.053511526
YKCAQFHU,0.276509801
NDPFBA9X,0.397195066
3T6C7AEA,0.216580446
GZWB38J9,0.03581389
OFTXYNYQ,0.051890288
QYZQIXBJ,0.443884209
N7PJT5HO,0.065535441
JP2PNX9X,0.215519936
N3FUZDIH,0.052108542
UXKAVBLS,0.023045249
G24JWDKS,0.042005188
HQOKKQVX,0.20292629
HTXFVZZG,0.050429644
3TJKVA4J,0.052061923
CRGS7FPX,0.036501647
BTRJTMR3,0.118915832
ERLPQML7,0.023252132
9FDFXYAW,0.481382711
MEEKFDZZ,0.053594134
ZGY8ETLW,0.263896067
AXVUJHT9,0.045932506
35ILRW7D,0.488724333
DR2U5JQX,0.08880301
WHZ7CEY6,0.299002605
UCPMS2KF,0.054874153
HB6MJHDN,0.291031952
7NWFPJ2X,0.135782514
4QXD6K4K,0.157000747
D6H3RTAZ,0.118986166
L67WSXUY,0.088266067
IXHVY78L,0.061929813
H6KE88O6,0.361869277
EAPKN7G8,0.995112878
GQXJSFJE,0.150486199
BVHSRABV,0.057480644
DUY76GFX,0.113402278
O7H9KPSD,0.381210346
6EDBA5AN,0.067782119
V24CAXFM,0.071258285
SERPSAWP,0.022197501
H47QYY5K,0.065006844
5TYQNFPE,0.348678692
HGDB7KMR,0.481337568
DWH8Q2S3,0.22343423
USNBQZAK,0.052315748
I89VR4AB,0.069341773
ATZVVXWJ,0.487951813
HOKP6ZTS,0.063839581
ZDKT2SSW,0.063990617
DK5HJYQE,0.0335351
ABKW7FGW,0.104564091
BCSW3W7T,0.051267987
6T4VNEWD,0.603515352
XBALBNYB,0.289541258
NWMJR3W5,0.051240491
Q5BJ4ULE,0.051412267
DOFSPEWD,0.83237633
ANX8FUBJ,0.051640497
KPR67SVO,0.022901534
44EV7IJE,0.052021086
VZEK4IOK,0.502153398
CZMKWRQN,0.051063294
VGQUQLXT,0.160788185
MS6GASNJ,0.03134012
4ENG9TKV,0.801321729
UHRRWLGR,0.065229912
APFSHZYP,0.051063294
M7MURWXC,0.455206797
3EOATQBT,0.051543862
MDZG7EZX,0.052108542
QZ6LSSTB,0.06697468
Y7EEZYYS,0.890333503
RYKLU6HL,0.052560751
CWQ8OAQ8,0.052498463
WSFUNE28,0.84946915
9PFQKPRB,0.052778844
MCLXWKBC,0.051267987
NWDXDZEN,0.300270571
EBLDBRDR,0.154204001
CJRW5JYT,0.287365962
CMMKRNUZ,0.201108247
EATPTPY3,0.050937506
J5AGUF6Q,0.069444974
8WYO2BBG,0.309248295
9EPXIMZB,0.04569476
UZERUG9W,0.074037288
QEQ79QUC,0.071860071
ZNHVE7QZ,0.124019191
PU3J43GY,0.830938083
HWDBXAUK,0.051063294
W74BHIAD,0.067625624
MGLDAPOA,0.052108542
BYFCPDX5,0.090240278
S2QDUDEJ,0.993774175
HBYRWBWL,0.023397985
8CIAWHWZ,0.825144954
ZFYFFXT5,0.105430329
UGIADHRB,0.179577394
JDDGRBSU,0.22940342
NBS2LTYW,0.290728726
DBKM3FRW,0.071413308
GLBHRXKB,0.051046515
9WDPTNCN,0.022435613
NVVVFQ9U,0.859744889
6AT635HW,0.092393475
HPHDI6NN,0.052573579
CPNAGJ95,0.053017452
FY6AFNCK,0.991466929
KWQAVZOE,0.876430226
HGBDE3LM,0.461728552
SYKEB6EV,0.05631785
9BROJWWS,0.465902906
CG8DGVAV,0.243647254
H7MT8CNK,0.071044064
GJVVWNKN,0.837563437
FXWTMJDG,0.088784439
OSNGFACM,0.064861307
PBFT55CF,0.991628944
4P8GFHSL,0.036459568
9ZZ4F4XF,0.384642577
CN4YERMU,0.824794247
8TUDLTWK,0.129413158
USFZPY7Z,0.025649326
VBJXREA8,0.03273233
9LBNXHQ2,0.160513814
PY6HCDWF,0.051878062
9VJMJR6X,0.069686014
4GAEJIQO,0.048423989
F34SD6YQ,0.070828705
HZ3BZVH6,0.154153257
9WVBAWEY,0.178725423
BPNYRSEH,0.051046515
7OGHEHO3,0.180088156
LRJZMHFT,0.051113158
PCHQW72T,0.467413333
BFJQGRFT,0.379325138
UVJ6UYBF,0.092872823
LRVO7MCH,0.190823563
EAOF4EYO,0.802120138
5HPCBEQQ,0.86034951
8FJBKABE,0.055832813
27J5UDAU,0.040481803
4MAT9RSM,0.862749877
SBDGZSY9,0.855312486
HPYN9M2Z,0.055346387
G7D2BESM,0.785806737
TWN7YQPN,0.053021827
BJRGMNFZ,0.180500675
9HFPJV3S,0.068396591
6WKJAUAG,0.051063294
BZUANVCU,0.186870617
NYWLDSFZ,0.859504403
LTW8JGAZ,0.053714287
IMDQJUTW,0.05392575
AVHZRCH8,0.258595843
LTSDWAVT,0.053380223
9WVKLADB,0.51535662
GXDSQJS2,0.036459568
4IHXKUNA,0.387643924
BTYDUQPC,0.052961662
BKCNFM72,0.116828078
UMVSSZ9N,0.061553256
N2STVKOI,0.052641455
ZZJQB3EY,0.540387851
FZJK9GH7,0.077285659
NTIWWNVB,0.04715096
NBCRWUBE,0.165605752
UBPYOBYG,0.077178221
K8RKMGVW,0.604184944
HFTH3NC2,0.032817743
759LCPDE,0.194938474
DYKME2AY,0.82547764
VZHURNZD,0.021631072
EAJJBYHU,0.349000062
T97TKZNT,0.465867896
IXOEQ2YD,0.936046393
BWKXTBCF,0.065025382
DNKPRVB3,0.262575036
JQCF2PXG,0.052021086
GIABLCP4,0.052206178
FDIC7S35,0.543837147
5RTNFJEV,0.023719413
OBZ4CU77,0.064907863
XMVX6WEB,0.139814456
MHARJGPA,0.051302789
2QI5GPDU,0.527385258
AE2NBAJ3,0.022571857
MDLANJZG,0.026413058
7TAP99MA,0.175391392
A6AMKR2Z,0.21439041
DX69CFXV,0.061152643
HKCKEKV4,0.278267706
CBNWXPJJ,0.272650154
Z3SJXFCA,0.096670527
RHTCABWR,0.859933218
ILGMVREG,0.224006628
BZK32SSP,0.053380223
25RR4UGE,0.053380223
9ZQFVNWY,0.095321487
FFSTFCAA,0.069544853
MBEDAX9Z,0.079197856
IYERPTUY,0.108863823
SBNMNBJE,0.024459044
CPWDDHBP,0.457761364
EN5EXSVB,0.04425994
EFT7687S,0.07679536
DUPIVFIW,0.051240491
HTVBHNFH,0.053919197
GFTV6AXH,0.053442189
NTNK2ZYN,0.053916507
NZ2MDLPM,0.17701644
UU4ECFQ5,0.851182014
FFWGNGVJ,0.049606476
JDQIBLRI,0.052780528
ZAWUVVWA,0.053814035
FC24V4XD,0.194404453
EKTZZYA2,0.078697339
RVRMHDD8,0.051267987
3RASGR5Y,0.211689591
QRBESHHG,0.053442189
MXYLFHSV,0.060100079
TY85POPR,0.140607497
BHXO9INE,0.051458162
S2RKLYZH,0.509980402
98GUQS9R,0.475512695
6VD8FK4Y,0.050110518
FMUHBZHQ,0.05179321
IHQY3US8,0.823954491
VDSNW6DR,0.088189303
JF8E8TCY,0.163977382
EKVBDN5B,0.161426361
LJOYHFHT,0.049117549
8WBDXKKG,0.441383856
LNAASJ6O,0.058396086
HGTW39J8,0.062219479
AMYH3YSJ,0.107395833
QZRPEWE6,0.052641455
9RBSJHBJ,0.290558572
EFZ3ADG9,0.052386708
CMQX6K9J,0.162990496
DBVXEJCR,0.053594134
PLYKWBFR,0.045847997
7QNURUDE,0.058764185
M8TD2YPV,0.283618475
JVJZVKUJ,0.837116011
XVUVCSM8,0.457761364
C9CMNJEH,0.196523813
IQLV6HTY,0.088915069
ELG7YZUM,0.051302789
PU9KWVOH,0.473746609
HAYJGRRV,0.05545976
KBKUHSLA,0.074129598
USL6KBDY,0.040253321
ZGLCSKTI,0.076172509
9JQWNRGA,0.11816183
EBVUVT88,0.049451464
9ZU5GNSK,0.218116701
EC7NIRSV,0.055626516
JJ23TDTX,0.066098381
IZWY5RYD,0.084907481
TSYCNH93,0.051362736
QSY6Q77W,0.245668312
TOBSGQ3J,0.225437292
FKGE6YRE,0.384357237
MGAYPPJE,0.053594134
IJRFUH6V,0.17677923
KX9Y3LCV,0.052961662
2ZDDJYHE,0.837558291
NBMLMYQE,0.052811211
E8XWCECR,0.254271161
5FP4HKBU,0.122121787
FUKFFD3F,0.272927629
8BDSMQUY,0.041403885
39T7KUFC,0.059558373
HZSPWI2U,0.429654083
LEJJKOWC,0.049983245
DR5F2HVS,0.85735207
BJA5TRWJ,0.366198256
NCVH9WFE,0.085513991
ME3XYUC5,0.780999958
VLCHSDHG,0.057865782
59CV3HQQ,0.130989064
JTAEBBQM,0.040285885
OBHDYLE2,0.202538757
EUEGA65T,0.052103995
MO9XWHWE,0.139994518
K3JSVGHE,0.051151988
JFHAQZQM,0.066018531
22IQJE4I,0.844936891
F57YH86H,0.054680433
BPNYWIPI,0.053709552
FJB78783,0.090767174
DIVE6ZUL,0.059577729
YACVPC9M,0.279133267
A3FM9UVE,0.051878062
9NE6ZC2Q,0.095429536
4NHTDBJN,0.082121698
3FH863BT,0.022571857
3UBBVIGN,0.323987069
NNP9TLV2,0.371246275
SA7VUUTE,0.037383453
ROG7ONJG,0.471708985
ICEBXJHF,0.095942783
HFTYHFAZ,0.070398719
EC5IQBEK,0.050891481
VQPXGNJV,0.037418424
BNE8WOYV,0.842226331
MKEXSYJN,0.056111021
B2MY2KQE,0.113767
GZVND3WE,0.333304858
JZ8ASRBZ,0.993148685
UMQWVVHH,0.833980381
MDGISGP7,0.037532032
JMVHKVGP,0.035909648
G5GPWASE,0.500640052
A9H3PMBD,0.053867634
DKEMLQCU,0.825117978
VVPNRFRF,0.898432664
AVIBMJNL,0.221321135
3FNEIWTQ,0.052070375
WMQIVFIH,0.080396557
GUSEEXX5,0.298108602
HZBZ7QMH,0.053337492
KMTZWEXS,0.023203053
62AXBXBL,0.088784439
FW6GESXM,0.037046695
A67RATVB,0.051904827
HUWJHKEG,0.053852838
KCHF33KH,0.155064129
CJUKTB4B,0.077285659
FA8NWHGK,0.068225625
6UZE4NSH,0.821701904
4UUZBMXW,0.195207103
QMRXRYDB,0.036671931
M3A5BVAC,0.970799524
II63YKTB,0.060957273
4OYB27TY,0.266619775
IEN9X6H8,0.092367694
U9VVATUM,0.239978756
SFOYCMRR,0.54448017
O7WYJHA5,0.299053075
STEKRYHT,0.024255121
QSX9J6OF,0.31999618
EVT46GYN,0.032660672
IQHUPR8Z,0.061709646
98WUTF8M,0.023045249
5JUSHPUM,0.053017452
9FMK8FZU,0.053055708
WPWW4JUN,0.588238556
8QUXAAHS,0.109500395
EU8RGIP7,0.067698296
BFT7ZJQO,0.05264605
4EQAO8W3,0.867744344
F3RWQSVQ,0.235323601
FUA3S84W,0.055221842
G9WITTNH,0.054872821
TE4CM6N8,0.995681932
L93TY7Q6,0.02692301
MK46HOFS,0.275331585
NSUSAJ7C,0.032817743
ZQXJP6PH,0.128086773
YX6PNVKN,0.053923113
7V7IJDSU,0.262147569
BSDHE7F2,0.297713905
DV5EXZEZ,0.780773893
VDKS85PW,0.394065979
4W48SFHV,0.47389343
ANGVCUXZ,0.053380223
IOST7D8C,0.583926779
HAQAECZX,0.032688771
GAB49KQU,0.81990324
GEBCXWCU,0.075919165
JPT2DAGQ,0.536476576
RXYEGKFP,0.581279212
4R6HCRNW,0.051543862
MWRTSE9B,0.060594117
JAC7FJCA,0.436347348
5DCT43QX,0.025833637
GFZMAKDD,0.05302185
8WVWSZNF,0.055261463
KCBVOKZ8,0.843154017
NRCEX3F3,0.057535116
59KYREQZ,0.054255893
S2HTHOYG,0.049494735
98QJA4ZA,0.052459681
8S27HJRE,0.224022875
MTEWWARX,0.052070375
PH8LQUCB,0.179836893
BYB9URVZ,0.763452855
3TYYHEQU,0.069950099
WTOPV47E,0.84935436
HGNGPJXH,0.334411862
LE5M9QWH,0.056149903
7YR3Z54H,0.081438172
9DLYZCUW,0.878635058
RKYQQQL5,0.203845023
5UTFCCXZ,0.326735356
JCYRCTNE,0.789640439
AJIVJ4WE,0.216140784
JTCERL4D,0.074812515
XWS2DC9M,0.05041362
TVIX5INS,0.852006326
CIQZ4NJS,0.112443433
EJRPJ86R,0.052108542
HPQBQGWQ,0.051903951
FR38HJFG,0.860075884
JPXNNMXQ,0.493691443
HWED8UBF,0.845219084
CJ6ILARS,0.039208916
MBCCSXEA,0.052937905
4S84NTNM,0.060611478
ADGV3FDY,0.181998744
HSAJUCOR,0.485804203
HHV3JEXF,0.038712508
DHARALYV,0.077248911
KBVN65GH,0.067463182
UYHCQN7W,0.059863116
9VXSCU6F,0.068915888
F2DBEMXE,0.249586013
6VN358PX,0.073932537
T2J5Y8NB,0.02692301
HPXJGYEZ,0.99207877
CS5NAYPP,0.4618182
2UC6R5XE,0.824616683
KZ8TKYP4,0.051063294
Y8XIC3AH,0.232573101
GCT9PSGP,0.051899657
MPQQFX4I,0.054849901
8VCZYPZD,0.051041054
JCIQPZLE,0.051941605
AYSUMKSF,0.114908514
VVAVU9BN,0.244853625
F3NBRACB,0.051904827
FPIGVTHX,0.080154248
X7XNXJVW,0.050627669
JEKWRXYH,0.477343421
MNGYZO5U,0.055763874
FXPCJ7GE,0.852126314
BUXRB7CD,0.076217578
JV4MCTHN,0.051553243
JUFQ5PVJ,0.426228433
ENLVSM6O,0.21266398
CJHC43KV,0.278346705
N4NSCGHE,0.480008495
FUVHQRWB,0.054187855
GTQHBCF7,0.364858997
DSB6DIRV,0.088915069
BVUKQQRV,0.037219867
KZCHX6LW,0.744277213
M5XAM7HE,0.050783621
YODUTYZU,0.852835907
JEREISWR,0.349941937
FTHIZFGT,0.18185832
7TCFIDRX,0.044898803
V8CRCBLR,0.053017452
XEDZWKEX,0.466603011
RAD4GZKE,0.053594134
FY8NXMD2,0.02614893
KVZXQCUM,0.383053944
JXRP92WY,0.033372492
IYA3LI6E,0.085379054
FXEUAUMU,0.24191955
KXVZ3BNR,0.026187347
FTDASK8G,0.561655665
JZQZ7RWM,0.054437599
HNPMBXDN,0.062662488
3SUTYK7Z,0.051890288
EHAW2L37,0.0522073
H5HWWKTM,0.137179401
BQVSKRPN,0.051232109
EUK3CR9A,0.169206337
VRMGCTGP,0.051613284
ENDZJZGR,0.059626823
NSSYQFVN,0.042624716
7TRWUSYQ,0.993895992
7Z6JWBCW,0.054751188
7DR4UVAZ,0.181863318
H7YECJLG,0.25654308
CUNTRPMN,0.833628864
VQQEMTVX,0.062234432
NWMFKQLZ,0.055626516
FIUW4SGY,0.052070375
JCVXZSJS,0.062153504
VZRUA5XP,0.4471628
923REBWY,0.050461843
3FKWHVLC,0.055487639
V8JTYKKL,0.177427928
A4MRC8NU,0.506565398
CQJTCLCJ,0.440648527
L9O3NMDQ,0.051267987
7DFWCHAN,0.056937866
NK7CWSGK,0.335457209
OLLGNEK9,0.052108542
KVOLRR62,0.066852347
KAI7SJGY,0.247692881
5LYDNC27,0.127315938
LPGW9PN3,0.096249221
4WA5JPWP,0.053526231
GCDXLWAN,0.166979959
7V6GQUOD,0.267423842
ENYQCCWM,0.044898803
B3BUXXA4,0.193087944
PC7INMMF,0.204063189
6PJ9NW3X,0.366346187
DXYC8WIG,0.86418133
DPKUYNJK,0.150486199
6ZRSCJ6J,0.830492601
CPX4EYVB,0.558101055
T28RFIEL,0.056531224
D4GXBMM8,0.087352057
JMQJAZHA,0.150508929
RZSFMVB9,0.479391017
T2QWMIDV,0.40725892
GRM6UHIW,0.051667048
X2SD7FMK,0.195948393
I4SENFDI,0.051543862
YSNU9M3K,0.75628181
USGXXPJH,0.5330162
QPQZPSMH,0.077486674
QPZDTV5V,0.051899657
H28ZERNP,0.984928748
UNWHQWCY,0.071072433
7N8BRMDU,0.06904325
DFMGCWHV,0.095249247
8FP6ENF4,0.451918143
FAO6XGQE,0.063493605
X5FCJHQ5,0.041306185
GGFPEVFR,0.105696611
AP9SCCXC,0.169883252
WONWP8QB,0.051458162
CWEKUQ4P,0.915477344
C5CGJVQZ,0.824129114
HO4YRWYD,0.038529814
HLIYGGYA,0.051267987
QKAJK2VB,0.480466247
